====================================================================================================
COMPREHENSIVE CLASSIFICATION REPORT
Frequency Domain CNN - Fruits-360 Dataset (6-channel: Magnitude + 1 Phase Component)
====================================================================================================

OVERALL METRICS:
----------------------------------------------------------------------------------------------------
Overall Accuracy:           0.819520 (81.9520%)
Cohen's Kappa Score:        0.818634
Total Test Samples:         39212
Number of Classes:          225
Correctly Classified:       32135
Misclassified:              7077

====================================================================================================
PER-CLASS METRICS:
====================================================================================================

Class Name                     Precision    Recall       F1-Score     Sensitivity   Specificity   Error Rate   Support   
Cherry Sour 1                  0.837209     0.960000     0.894410     0.960000      0.999283      0.000867     150       
Cherry Wax Black 1             1.000000     1.000000     1.000000     1.000000      1.000000      0.000000     164       
Cherry Wax Red 1               0.993939     1.000000     0.996960     1.000000      0.999974      0.000026     164       
Cherry Wax Red 2               0.919753     0.993333     0.955128     0.993333      0.999667      0.000357     150       
Cherry Wax Red 3               0.838150     0.966667     0.897833     0.966667      0.999283      0.000842     150       
Cherry Wax Yellow 1            1.000000     0.585366     0.738462     0.585366      1.000000      0.001734     164       
Cherry Wax not ripen 1         0.588406     0.902222     0.712281     0.902222      0.996358      0.004182     225       
Cherry Wax not ripen 2         0.627907     0.355263     0.453782     0.355263      0.999591      0.001658     76        
Chestnut 1                     0.701422     0.967320     0.813187     0.967320      0.998387      0.001734     153       
Clementine 1                   0.892562     0.650602     0.752613     0.650602      0.999667      0.001811     166       
Cocos 1                        0.986207     0.861446     0.919614     0.861446      0.999949      0.000638     166       
Corn 1                         0.975000     0.520000     0.678261     0.520000      0.999949      0.001887     150       
Corn Husk 1                    1.000000     0.668831     0.801556     0.668831      1.000000      0.001301     154       
Cucumber 1                     1.000000     0.580000     0.734177     0.580000      1.000000      0.000536     50        
Cucumber 10                    0.907631     0.941667     0.924335     0.941667      0.999410      0.000944     240       
Cucumber 11                    0.928571     1.000000     0.962963     1.000000      0.999847      0.000153     78        
Cucumber 3                     0.975904     1.000000     0.987805     1.000000      0.999949      0.000051     81        
Cucumber 4                     1.000000     0.552632     0.711864     0.552632      1.000000      0.000867     76        
Cucumber 5                     0.786765     0.914530     0.845850     0.914530      0.998512      0.001989     234       
Cucumber 7                     0.994949     0.841880     0.912037     0.841880      0.999974      0.000969     234       
Cucumber 8                     0.860902     0.991342     0.921529     0.991342      0.999051      0.000995     231       
Cucumber 9                     0.913669     0.824675     0.866894     0.824675      0.999693      0.000995     154       
Cucumber Ripe 1                0.948905     1.000000     0.973783     1.000000      0.999821      0.000179     130       
Cucumber Ripe 2                0.826590     0.916667     0.869301     0.916667      0.999232      0.001097     156       
Dates 1                        1.000000     1.000000     1.000000     1.000000      1.000000      0.000000     166       
Eggplant 1                     0.819820     0.583333     0.681648     0.583333      0.999488      0.002168     156       
Eggplant long 1                1.000000     1.000000     1.000000     1.000000      1.000000      0.000000     80        
Fig 1                          0.995652     0.978632     0.987069     0.978632      0.999974      0.000153     234       
Ginger Root 1                  0.928571     0.919192     0.923858     0.919192      0.999821      0.000383     99        
Gooseberry 1                   0.895349     1.000000     0.944785     1.000000      0.999539      0.000459     154       
