====================================================================================================
COMPREHENSIVE CLASSIFICATION REPORT
Frequency Domain CNN - Fruits-360 Dataset (6-channel: Magnitude + 1 Phase Component)
====================================================================================================

OVERALL METRICS:
----------------------------------------------------------------------------------------------------
Overall Accuracy:           0.819520 (81.9520%)
Cohen's Kappa Score:        0.818634
Total Test Samples:         39212
Number of Classes:          225
Correctly Classified:       32135
Misclassified:              7077

====================================================================================================
PER-CLASS METRICS:
====================================================================================================

Class Name                     Precision    Recall       F1-Score     Sensitivity   Specificity   Error Rate   Support   
355        Apple 11                       Apple 11                       CORRECT ✓      
356        Apple 11                       Apple 11                       CORRECT ✓      
357        Apple 11                       Apple 11                       CORRECT ✓      
358        Apple 11                       Apple 11                       CORRECT ✓      
359        Apple 11                       Apple 11                       CORRECT ✓      
360        Apple 11                       Apple 11                       CORRECT ✓      
361        Apple 11                       Apple 11                       CORRECT ✓      
362        Apple 11                       Apple 11                       CORRECT ✓      
363        Apple 11                       Apple 11                       CORRECT ✓      
364        Apple 11                       Apple 11                       CORRECT ✓      
365        Apple 11                       Apple 11                       CORRECT ✓      
366        Apple 11                       Apple 11                       CORRECT ✓      
367        Apple 11                       Apple 11                       CORRECT ✓      
368        Apple 11                       Apple 11                       CORRECT ✓      
369        Apple 11                       Apple 11                       CORRECT ✓      
370        Apple 11                       Apple 11                       CORRECT ✓      
371        Apple 11                       Apple 11                       CORRECT ✓      
372        Apple 11                       Apple 11                       CORRECT ✓      
373        Apple 11                       Apple 11                       CORRECT ✓      
374        Apple 12                       Apple 12                       CORRECT ✓      
375        Apple 12                       Apple 12                       CORRECT ✓      
376        Apple 12                       Apple 12                       CORRECT ✓      
377        Apple 12                       Apple 12                       CORRECT ✓      
378        Apple 12                       Apple 12                       CORRECT ✓      
379        Apple 12                       Apple 12                       CORRECT ✓      
380        Apple 12                       Apple 12                       CORRECT ✓      
381        Apple 12                       Apple 12                       CORRECT ✓      
382        Apple 12                       Apple 12                       CORRECT ✓      
383        Apple 12                       Apple 12                       CORRECT ✓      
384        Apple 12                       Apple 12                       CORRECT ✓      
385        Apple 12                       Apple 12                       CORRECT ✓      
386        Apple 12                       Apple worm 1                   INCORRECT ✗    
387        Apple 12                       Apple worm 1                   INCORRECT ✗    
388        Apple 12                       Apple worm 1                   INCORRECT ✗    
389        Apple 12                       Apple 12                       CORRECT ✓      
390        Apple 12                       Apple 12                       CORRECT ✓      
391        Apple 12                       Apple worm 1                   INCORRECT ✗    
392        Apple 12                       Apple worm 1                   INCORRECT ✗    
393        Apple 12                       Apple worm 1                   INCORRECT ✗    
394        Apple 12                       Apple worm 1                   INCORRECT ✗    
395        Apple 12                       Apple 12                       CORRECT ✓      
396        Apple 12                       Apple 12                       CORRECT ✓      
397        Apple 12                       Apple 12                       CORRECT ✓      
398        Apple 12                       Apple 12                       CORRECT ✓      
399        Apple 12                       Apple 12                       CORRECT ✓      
400        Apple 12                       Apple 12                       CORRECT ✓      
401        Apple 12                       Apple 12                       CORRECT ✓      
402        Apple 12                       Apple 12                       CORRECT ✓      
403        Apple 12                       Apple 12                       CORRECT ✓      
404        Apple 12                       Apple 12                       CORRECT ✓      
405        Apple 12                       Apple 12                       CORRECT ✓      
406        Apple 12                       Apple 12                       CORRECT ✓      
407        Apple 12                       Apple 12                       CORRECT ✓      
408        Apple 12                       Apple 12                       CORRECT ✓      
409        Apple 12                       Apple 12                       CORRECT ✓      
410        Apple 12                       Apple 12                       CORRECT ✓      
411        Apple 12                       Apple 12                       CORRECT ✓      
412        Apple 12                       Apple 12                       CORRECT ✓      
413        Apple 12                       Apple 12                       CORRECT ✓      
414        Apple 12                       Apple 12                       CORRECT ✓      
415        Apple 12                       Apple 12                       CORRECT ✓      
416        Apple 12                       Apple 12                       CORRECT ✓      
417        Apple 12                       Apple 12                       CORRECT ✓      
418        Apple 12                       Apple 12                       CORRECT ✓      
419        Apple 12                       Apple 12                       CORRECT ✓      
420        Apple 12                       Apple 12                       CORRECT ✓      
421        Apple 12                       Apple 12                       CORRECT ✓      
422        Apple 12                       Apple 12                       CORRECT ✓      
423        Apple 12                       Apple 12                       CORRECT ✓      
424        Apple 12                       Apple 12                       CORRECT ✓      
425        Apple 12                       Apple 12                       CORRECT ✓      
426        Apple 12                       Apple 12                       CORRECT ✓      
427        Apple 12                       Apple 12                       CORRECT ✓      
428        Apple 12                       Apple 12                       CORRECT ✓      
429        Apple 12                       Apple 12                       CORRECT ✓      
430        Apple 12                       Apple 12                       CORRECT ✓      
431        Apple 12                       Apple 12                       CORRECT ✓      
432        Apple 12                       Apple 12                       CORRECT ✓      
433        Apple 12                       Apple 12                       CORRECT ✓      
434        Apple 12                       Apple 12                       CORRECT ✓      
435        Apple 12                       Apple 12                       CORRECT ✓      
436        Apple 12                       Apple 12                       CORRECT ✓      
437        Apple 12                       Apple 12                       CORRECT ✓      
438        Apple 12                       Apple 12                       CORRECT ✓      
439        Apple 12                       Apple 12                       CORRECT ✓      
440        Apple 12                       Apple 12                       CORRECT ✓      
441        Apple 12                       Apple 12                       CORRECT ✓      
442        Apple 12                       Apple 12                       CORRECT ✓      
443        Apple 12                       Apple 12                       CORRECT ✓      
444        Apple 12                       Apple 12                       CORRECT ✓      
445        Apple 12                       Apple 12                       CORRECT ✓      
446        Apple 12                       Apple 12                       CORRECT ✓      
447        Apple 12                       Apple 12                       CORRECT ✓      
448        Apple 12                       Apple 12                       CORRECT ✓      
449        Apple 12                       Apple 12                       CORRECT ✓      
450        Apple 12                       Apple 12                       CORRECT ✓      
451        Apple 12                       Apple 12                       CORRECT ✓      
452        Apple 12                       Apple 12                       CORRECT ✓      
453        Apple 12                       Kohlrabi 1                     INCORRECT ✗    
454        Apple 12                       Apple 12                       CORRECT ✓      
455        Apple 12                       Kohlrabi 1                     INCORRECT ✗    
456        Apple 12                       Apple 12                       CORRECT ✓      
457        Apple 12                       Pear 10                        INCORRECT ✗    
458        Apple 12                       Kohlrabi 1                     INCORRECT ✗    
459        Apple 12                       Apple 12                       CORRECT ✓      
460        Apple 12                       Apple 12                       CORRECT ✓      
461        Apple 12                       Apple 12                       CORRECT ✓      
462        Apple 12                       Apple 12                       CORRECT ✓      
463        Apple 12                       Apple 12                       CORRECT ✓      
464        Apple 12                       Apple 12                       CORRECT ✓      
465        Apple 12                       Apple 12                       CORRECT ✓      
466        Apple 12                       Apple 12                       CORRECT ✓      
467        Apple 12                       Apple 12                       CORRECT ✓      
468        Apple 12                       Apple 12                       CORRECT ✓      
469        Apple 12                       Apple 12                       CORRECT ✓      
470        Apple 12                       Apple 12                       CORRECT ✓      
471        Apple 12                       Apple 12                       CORRECT ✓      
472        Apple 12                       Apple 12                       CORRECT ✓      
473        Apple 12                       Apple 12                       CORRECT ✓      
474        Apple 12                       Apple 12                       CORRECT ✓      
475        Apple 12                       Apple 12                       CORRECT ✓      
476        Apple 12                       Apple 12                       CORRECT ✓      
477        Apple 12                       Apple 12                       CORRECT ✓      
478        Apple 12                       Apple 12                       CORRECT ✓      
479        Apple 12                       Apple 12                       CORRECT ✓      
480        Apple 12                       Apple 12                       CORRECT ✓      
481        Apple 12                       Apple 12                       CORRECT ✓      
482        Apple 12                       Apple 12                       CORRECT ✓      
483        Apple 12                       Apple 12                       CORRECT ✓      
484        Apple 12                       Apple 12                       CORRECT ✓      
485        Apple 12                       Apple 12                       CORRECT ✓      
486        Apple 12                       Apple 12                       CORRECT ✓      
487        Apple 12                       Apple 12                       CORRECT ✓      
488        Apple 12                       Apple 12                       CORRECT ✓      
489        Apple 12                       Apple 12                       CORRECT ✓      
490        Apple 12                       Apple 12                       CORRECT ✓      
491        Apple 12                       Apple 12                       CORRECT ✓      
492        Apple 12                       Apple 12                       CORRECT ✓      
493        Apple 12                       Apple 12                       CORRECT ✓      
494        Apple 12                       Apple 12                       CORRECT ✓      
495        Apple 12                       Apple 12                       CORRECT ✓      
496        Apple 12                       Apple 12                       CORRECT ✓      
497        Apple 12                       Apple 12                       CORRECT ✓      
498        Apple 12                       Apple 12                       CORRECT ✓      
499        Apple 12                       Apple 12                       CORRECT ✓      
500        Apple 12                       Apple 12                       CORRECT ✓      
501        Apple 12                       Apple 12                       CORRECT ✓      
502        Apple 12                       Apple 12                       CORRECT ✓      
503        Apple 12                       Apple 12                       CORRECT ✓      
504        Apple 12                       Apple worm 1                   INCORRECT ✗    
505        Apple 12                       Apple worm 1                   INCORRECT ✗    
506        Apple 12                       Apple worm 1                   INCORRECT ✗    
507        Apple 12                       Apple 12                       CORRECT ✓      
508        Apple 12                       Apple 12                       CORRECT ✓      
509        Apple 12                       Apple 12                       CORRECT ✓      
510        Apple 12                       Apple 12                       CORRECT ✓      
511        Apple 12                       Apple 12                       CORRECT ✓      
512        Apple 12                       Apple 12                       CORRECT ✓      
513        Apple 12                       Apple 12                       CORRECT ✓      
514        Apple 12                       Apple 12                       CORRECT ✓      
515        Apple 12                       Apple 12                       CORRECT ✓      
516        Apple 12                       Peach 3                        INCORRECT ✗    
517        Apple 12                       Apple 12                       CORRECT ✓      
518        Apple 12                       Apple 12                       CORRECT ✓      
519        Apple 12                       Apple 12                       CORRECT ✓      
520        Apple 12                       Apple 12                       CORRECT ✓      
521        Apple 12                       Apple 12                       CORRECT ✓      
522        Apple 12                       Apple 12                       CORRECT ✓      
523        Apple 12                       Apple 12                       CORRECT ✓      
524        Apple 12                       Apple 12                       CORRECT ✓      
525        Apple 12                       Apple 12                       CORRECT ✓      
526        Apple 12                       Apple 12                       CORRECT ✓      
527        Apple 12                       Apple 12                       CORRECT ✓      
528        Apple 13                       Apple 13                       CORRECT ✓      
529        Apple 13                       Apple 13                       CORRECT ✓      
530        Apple 13                       Apple 13                       CORRECT ✓      
531        Apple 13                       Apple 13                       CORRECT ✓      
532        Apple 13                       Apple 13                       CORRECT ✓      
533        Apple 13                       Apple 13                       CORRECT ✓      
534        Apple 13                       Apple 13                       CORRECT ✓      
535        Apple 13                       Apple 14                       INCORRECT ✗    
536        Apple 13                       Apple 14                       INCORRECT ✗    
537        Apple 13                       Apple 14                       INCORRECT ✗    
538        Apple 13                       Apple 13                       CORRECT ✓      
539        Apple 13                       Apple 13                       CORRECT ✓      
540        Apple 13                       Apple 13                       CORRECT ✓      
541        Apple 13                       Apple 13                       CORRECT ✓      
542        Apple 13                       Apple 13                       CORRECT ✓      
543        Apple 13                       Apple 13                       CORRECT ✓      
544        Apple 13                       Apple 13                       CORRECT ✓      
545        Apple 13                       Apple 13                       CORRECT ✓      
546        Apple 13                       Apple 13                       CORRECT ✓      
547        Apple 13                       Apple 13                       CORRECT ✓      
548        Apple 13                       Apple 13                       CORRECT ✓      
549        Apple 13                       Apple 13                       CORRECT ✓      
550        Apple 13                       Apple 13                       CORRECT ✓      
551        Apple 13                       Apple 13                       CORRECT ✓      
552        Apple 13                       Apple 13                       CORRECT ✓      
553        Apple 13                       Apple 13                       CORRECT ✓      
554        Apple 13                       Apple 13                       CORRECT ✓      
555        Apple 13                       Apple 19                       INCORRECT ✗    
556        Apple 13                       Apple 13                       CORRECT ✓      
557        Apple 13                       Apple 13                       CORRECT ✓      
558        Apple 13                       Apple 13                       CORRECT ✓      
559        Apple 13                       Apple 13                       CORRECT ✓      
560        Apple 13                       Apple 13                       CORRECT ✓      
561        Apple 13                       Apple 13                       CORRECT ✓      
562        Apple 13                       Apple 13                       CORRECT ✓      
563        Apple 13                       Apple 13                       CORRECT ✓      
564        Apple 13                       Apple 13                       CORRECT ✓      
565        Apple 13                       Apple 13                       CORRECT ✓      
566        Apple 13                       Apple 13                       CORRECT ✓      
567        Apple 13                       Apple 13                       CORRECT ✓      
568        Apple 13                       Apple 13                       CORRECT ✓      
569        Apple 13                       Apple 13                       CORRECT ✓      
570        Apple 13                       Apple 13                       CORRECT ✓      
571        Apple 13                       Apple 13                       CORRECT ✓      
572        Apple 13                       Apple 13                       CORRECT ✓      
573        Apple 13                       Apple 13                       CORRECT ✓      
574        Apple 13                       Apple 13                       CORRECT ✓      
575        Apple 13                       Apple 13                       CORRECT ✓      
576        Apple 13                       Apple 13                       CORRECT ✓      
577        Apple 13                       Apple 13                       CORRECT ✓      
578        Apple 13                       Apple 13                       CORRECT ✓      
579        Apple 13                       Apple 13                       CORRECT ✓      
580        Apple 13                       Apple 13                       CORRECT ✓      
581        Apple 13                       Apple 13                       CORRECT ✓      
582        Apple 13                       Apple 14                       INCORRECT ✗    
583        Apple 13                       Apple 13                       CORRECT ✓      
584        Apple 13                       Apple 13                       CORRECT ✓      
585        Apple 13                       Apple 13                       CORRECT ✓      
586        Apple 13                       Apple 13                       CORRECT ✓      
587        Apple 13                       Apple 13                       CORRECT ✓      
588        Apple 13                       Apple 13                       CORRECT ✓      
589        Apple 13                       Apple 13                       CORRECT ✓      
590        Apple 13                       Apple 13                       CORRECT ✓      
591        Apple 13                       Apple 13                       CORRECT ✓      
592        Apple 13                       Apple 13                       CORRECT ✓      
593        Apple 13                       Apple 13                       CORRECT ✓      
594        Apple 13                       Apple 13                       CORRECT ✓      
595        Apple 13                       Apple 13                       CORRECT ✓      
596        Apple 13                       Apple 13                       CORRECT ✓      
597        Apple 13                       Apple 19                       INCORRECT ✗    
598        Apple 13                       Apple 19                       INCORRECT ✗    
599        Apple 13                       Apple 19                       INCORRECT ✗    
600        Apple 13                       Apple 13                       CORRECT ✓      
601        Apple 13                       Apple 13                       CORRECT ✓      
602        Apple 13                       Apple 13                       CORRECT ✓      
603        Apple 13                       Apple 13                       CORRECT ✓      
604        Apple 13                       Apple 13                       CORRECT ✓      
605        Apple 13                       Apple 13                       CORRECT ✓      
606        Apple 13                       Apple 13                       CORRECT ✓      
607        Apple 13                       Apple 13                       CORRECT ✓      
608        Apple 13                       Apple 13                       CORRECT ✓      
609        Apple 13                       Apple 13                       CORRECT ✓      
610        Apple 13                       Apple 13                       CORRECT ✓      
611        Apple 13                       Apple 13                       CORRECT ✓      
612        Apple 13                       Apple 13                       CORRECT ✓      
613        Apple 13                       Apple 13                       CORRECT ✓      
614        Apple 13                       Apple 13                       CORRECT ✓      
615        Apple 13                       Apple 13                       CORRECT ✓      
616        Apple 13                       Apple 14                       INCORRECT ✗    
617        Apple 13                       Apple 14                       INCORRECT ✗    
618        Apple 13                       Apple 13                       CORRECT ✓      
619        Apple 13                       Apple 13                       CORRECT ✓      
620        Apple 13                       Apple 13                       CORRECT ✓      
621        Apple 13                       Apple 13                       CORRECT ✓      
622        Apple 13                       Apple 13                       CORRECT ✓      
623        Apple 13                       Apple 13                       CORRECT ✓      
624        Apple 13                       Apple 13                       CORRECT ✓      
625        Apple 13                       Apple 13                       CORRECT ✓      
626        Apple 13                       Apple 13                       CORRECT ✓      
627        Apple 13                       Apple 14                       INCORRECT ✗    
628        Apple 13                       Apple 13                       CORRECT ✓      
629        Apple 13                       Apple 14                       INCORRECT ✗    
630        Apple 13                       Apple 13                       CORRECT ✓      
631        Apple 13                       Apple 13                       CORRECT ✓      
632        Apple 13                       Apple 14                       INCORRECT ✗    
633        Apple 13                       Mango Red 1                    INCORRECT ✗    
634        Apple 13                       Apple 14                       INCORRECT ✗    
635        Apple 13                       Apple 14                       INCORRECT ✗    
636        Apple 13                       Apple 13                       CORRECT ✓      
637        Apple 13                       Apple 14                       INCORRECT ✗    
638        Apple 13                       Apple 14                       INCORRECT ✗    
639        Apple 13                       Apple 14                       INCORRECT ✗    
640        Apple 13                       Apple 14                       INCORRECT ✗    
641        Apple 13                       Apple 13                       CORRECT ✓      
642        Apple 13                       Apple 14                       INCORRECT ✗    
643        Apple 13                       Apple 14                       INCORRECT ✗    
644        Apple 13                       Apple 13                       CORRECT ✓      
645        Apple 13                       Apple 13                       CORRECT ✓      
646        Apple 13                       Apple 13                       CORRECT ✓      
647        Apple 13                       Apple 13                       CORRECT ✓      
648        Apple 13                       Apple 13                       CORRECT ✓      
649        Apple 13                       Apple 13                       CORRECT ✓      
650        Apple 13                       Apple 13                       CORRECT ✓      
651        Apple 13                       Apple 13                       CORRECT ✓      
652        Apple 13                       Apple 13                       CORRECT ✓      
653        Apple 13                       Apple 13                       CORRECT ✓      
654        Apple 13                       Apple 13                       CORRECT ✓      
655        Apple 13                       Apple 13                       CORRECT ✓      
656        Apple 13                       Apple 13                       CORRECT ✓      
657        Apple 13                       Apple 12                       INCORRECT ✗    
658        Apple 13                       Apple 13                       CORRECT ✓      
659        Apple 13                       Apple 13                       CORRECT ✓      
660        Apple 13                       Apple 13                       CORRECT ✓      
661        Apple 13                       Apple 13                       CORRECT ✓      
662        Apple 13                       Apple 13                       CORRECT ✓      
663        Apple 13                       Pear 5                         INCORRECT ✗    
664        Apple 13                       Apple 13                       CORRECT ✓      
665        Apple 13                       Apple 13                       CORRECT ✓      
666        Apple 13                       Apple 13                       CORRECT ✓      
667        Apple 13                       Apple 13                       CORRECT ✓      
668        Apple 13                       Apple 13                       CORRECT ✓      
669        Apple 13                       Apple 13                       CORRECT ✓      
670        Apple 13                       Apple 13                       CORRECT ✓      
671        Apple 13                       Apple 13                       CORRECT ✓      
672        Apple 13                       Apple 14                       INCORRECT ✗    
673        Apple 13                       Apple 13                       CORRECT ✓      
674        Apple 13                       Apple 14                       INCORRECT ✗    
675        Apple 13                       Apple 13                       CORRECT ✓      
676        Apple 13                       Apple 13                       CORRECT ✓      
677        Apple 13                       Apple 13                       CORRECT ✓      
678        Apple 13                       Apple 13                       CORRECT ✓      
679        Apple 13                       Apple 13                       CORRECT ✓      
680        Apple 13                       Apple 13                       CORRECT ✓      
681        Apple 13                       Apple 13                       CORRECT ✓      
682        Apple 13                       Apple 13                       CORRECT ✓      
683        Apple 13                       Apple 13                       CORRECT ✓      
684        Apple 13                       Apple 13                       CORRECT ✓      
685        Apple 13                       Apple 13                       CORRECT ✓      
686        Apple 13                       Apple 13                       CORRECT ✓      
687        Apple 13                       Apple 13                       CORRECT ✓      
688        Apple 13                       Apple 13                       CORRECT ✓      
689        Apple 13                       Apple 13                       CORRECT ✓      
690        Apple 13                       Apple 13                       CORRECT ✓      
691        Apple 13                       Apple 13                       CORRECT ✓      
692        Apple 13                       Apple 13                       CORRECT ✓      
693        Apple 13                       Apple 13                       CORRECT ✓      
694        Apple 13                       Apple 13                       CORRECT ✓      
695        Apple 13                       Apple 13                       CORRECT ✓      
696        Apple 13                       Apple 13                       CORRECT ✓      
697        Apple 13                       Apple 13                       CORRECT ✓      
698        Apple 13                       Apple 13                       CORRECT ✓      
699        Apple 13                       Apple 13                       CORRECT ✓      
700        Apple 13                       Apple 13                       CORRECT ✓      
701        Apple 13                       Apple 13                       CORRECT ✓      
702        Apple 13                       Apple 13                       CORRECT ✓      
703        Apple 13                       Apple 13                       CORRECT ✓      
704        Apple 13                       Apple 13                       CORRECT ✓      
705        Apple 13                       Apple 13                       CORRECT ✓      
706        Apple 13                       Apple 13                       CORRECT ✓      
707        Apple 13                       Apple 13                       CORRECT ✓      
708        Apple 13                       Apple 13                       CORRECT ✓      
709        Apple 13                       Apple 13                       CORRECT ✓      
710        Apple 13                       Apple 13                       CORRECT ✓      
711        Apple 13                       Apple 13                       CORRECT ✓      
712        Apple 13                       Apple 13                       CORRECT ✓      
713        Apple 13                       Apple 13                       CORRECT ✓      
714        Apple 13                       Apple 13                       CORRECT ✓      
715        Apple 13                       Apple 13                       CORRECT ✓      
716        Apple 13                       Apple 13                       CORRECT ✓      
717        Apple 13                       Apple 13                       CORRECT ✓      
718        Apple 13                       Apple 13                       CORRECT ✓      
719        Apple 13                       Apple 13                       CORRECT ✓      
720        Apple 13                       Apple 13                       CORRECT ✓      
721        Apple 13                       Apple 13                       CORRECT ✓      
722        Apple 13                       Apple 13                       CORRECT ✓      
723        Apple 13                       Apple 13                       CORRECT ✓      
724        Apple 13                       Apple 13                       CORRECT ✓      
725        Apple 13                       Apple 13                       CORRECT ✓      
726        Apple 13                       Apple 13                       CORRECT ✓      
727        Apple 13                       Apple 13                       CORRECT ✓      
728        Apple 13                       Apple 13                       CORRECT ✓      
729        Apple 13                       Apple 13                       CORRECT ✓      
730        Apple 13                       Apple 13                       CORRECT ✓      
731        Apple 13                       Apple 9                        INCORRECT ✗    
732        Apple 13                       Apple 13                       CORRECT ✓      
733        Apple 13                       Apple 13                       CORRECT ✓      
734        Apple 13                       Apple 13                       CORRECT ✓      
735        Apple 13                       Apple 13                       CORRECT ✓      
736        Apple 13                       Apple 13                       CORRECT ✓      
737        Apple 13                       Apple 13                       CORRECT ✓      
738        Apple 13                       Apple 13                       CORRECT ✓      
739        Apple 13                       Apple 13                       CORRECT ✓      
740        Apple 13                       Apple 13                       CORRECT ✓      
741        Apple 13                       Apple 13                       CORRECT ✓      
742        Apple 13                       Apple 13                       CORRECT ✓      
743        Apple 13                       Apple 13                       CORRECT ✓      
744        Apple 13                       Apple 13                       CORRECT ✓      
745        Apple 13                       Apple 13                       CORRECT ✓      
746        Apple 13                       Apple 13                       CORRECT ✓      
747        Apple 13                       Apple 13                       CORRECT ✓      
748        Apple 13                       Apple 13                       CORRECT ✓      
749        Apple 13                       Apple 13                       CORRECT ✓      
750        Apple 13                       Apple 13                       CORRECT ✓      
751        Apple 13                       Apple 13                       CORRECT ✓      
752        Apple 13                       Apple 13                       CORRECT ✓      
753        Apple 13                       Apple 13                       CORRECT ✓      
754        Apple 13                       Apple 13                       CORRECT ✓      
755        Apple 13                       Apple 13                       CORRECT ✓      
756        Apple 13                       Apple 13                       CORRECT ✓      
757        Apple 13                       Apple 13                       CORRECT ✓      
758        Apple 13                       Apple 13                       CORRECT ✓      
759        Apple 13                       Apple 13                       CORRECT ✓      
760        Apple 13                       Apple 13                       CORRECT ✓      
761        Apple 13                       Apple 13                       CORRECT ✓      
762        Apple 13                       Apple 13                       CORRECT ✓      
763        Apple 14                       Apple 14                       CORRECT ✓      
764        Apple 14                       Apple 14                       CORRECT ✓      
765        Apple 14                       Apple 14                       CORRECT ✓      
766        Apple 14                       Apple 14                       CORRECT ✓      
767        Apple 14                       Apple 14                       CORRECT ✓      
768        Apple 14                       Apple 14                       CORRECT ✓      
769        Apple 14                       Apple 14                       CORRECT ✓      
770        Apple 14                       Apple 14                       CORRECT ✓      
771        Apple 14                       Apple 14                       CORRECT ✓      
772        Apple 14                       Apple 14                       CORRECT ✓      
773        Apple 14                       Apple 14                       CORRECT ✓      
774        Apple 14                       Apple 14                       CORRECT ✓      
775        Apple 14                       Apple 14                       CORRECT ✓      
776        Apple 14                       Apple 14                       CORRECT ✓      
777        Apple 14                       Apple 14                       CORRECT ✓      
778        Apple 14                       Apple 14                       CORRECT ✓      
779        Apple 14                       Quince 3                       INCORRECT ✗    
780        Apple 14                       Apple hit 1                    INCORRECT ✗    
781        Apple 14                       Apple 14                       CORRECT ✓      
782        Apple 14                       Apple 9                        INCORRECT ✗    
783        Apple 14                       Apple 9                        INCORRECT ✗    
784        Apple 14                       Apple 14                       CORRECT ✓      
785        Apple 14                       Apple 14                       CORRECT ✓      
786        Apple 14                       Apple 14                       CORRECT ✓      
787        Apple 14                       Apple 9                        INCORRECT ✗    
788        Apple 14                       Apple 14                       CORRECT ✓      
789        Apple 14                       Apple 14                       CORRECT ✓      
790        Apple 14                       Apple 8                        INCORRECT ✗    
791        Apple 14                       Apple 9                        INCORRECT ✗    
792        Apple 14                       Apple 13                       INCORRECT ✗    
793        Apple 14                       Apple 9                        INCORRECT ✗    
794        Apple 14                       Apple 9                        INCORRECT ✗    
795        Apple 14                       Apple 19                       INCORRECT ✗    
796        Apple 14                       Apple 14                       CORRECT ✓      
797        Apple 14                       Apple 14                       CORRECT ✓      
798        Apple 14                       Apple 14                       CORRECT ✓      
799        Apple 14                       Apple hit 1                    INCORRECT ✗    
800        Apple 14                       Apple hit 1                    INCORRECT ✗    
801        Apple 14                       Apple 8                        INCORRECT ✗    
802        Apple 14                       Apple hit 1                    INCORRECT ✗    
803        Apple 14                       Apple hit 1                    INCORRECT ✗    
804        Apple 14                       Apple 9                        INCORRECT ✗    
805        Apple 14                       Apple 14                       CORRECT ✓      
806        Apple 14                       Apple 14                       CORRECT ✓      
807        Apple 14                       Apple 14                       CORRECT ✓      
808        Apple 14                       Apple 14                       CORRECT ✓      
809        Apple 14                       Apple 14                       CORRECT ✓      
810        Apple 14                       Apple 14                       CORRECT ✓      
811        Apple 14                       Apple 14                       CORRECT ✓      
812        Apple 14                       Apple 8                        INCORRECT ✗    
813        Apple 14                       Apple 14                       CORRECT ✓      
814        Apple 14                       Apple 14                       CORRECT ✓      
815        Apple 14                       Apple 14                       CORRECT ✓      
816        Apple 14                       Apple 14                       CORRECT ✓      
817        Apple 14                       Apple 14                       CORRECT ✓      
818        Apple 14                       Apple 14                       CORRECT ✓      
819        Apple 14                       Apple 14                       CORRECT ✓      
820        Apple 14                       Apple 8                        INCORRECT ✗    
821        Apple 14                       Apple 14                       CORRECT ✓      
822        Apple 14                       Apple 8                        INCORRECT ✗    
823        Apple 14                       Apple 14                       CORRECT ✓      
824        Apple 14                       Apple 10                       INCORRECT ✗    
825        Apple 14                       Apple 10                       INCORRECT ✗    
826        Apple 14                       Apple 8                        INCORRECT ✗    
827        Apple 14                       Apple 8                        INCORRECT ✗    
828        Apple 14                       Apple 10                       INCORRECT ✗    
829        Apple 14                       Apple 10                       INCORRECT ✗    
830        Apple 14                       Apple 10                       INCORRECT ✗    
831        Apple 14                       Apple 14                       CORRECT ✓      
832        Apple 14                       Apple 14                       CORRECT ✓      
833        Apple 14                       Apple 14                       CORRECT ✓      
834        Apple 14                       Apple 14                       CORRECT ✓      
835        Apple 14                       Apple 14                       CORRECT ✓      
836        Apple 14                       Apple 14                       CORRECT ✓      
837        Apple 14                       Apple 14                       CORRECT ✓      
838        Apple 14                       Apple 14                       CORRECT ✓      
839        Apple 14                       Apple 14                       CORRECT ✓      
840        Apple 14                       Apple 14                       CORRECT ✓      
841        Apple 14                       Apple 14                       CORRECT ✓      
842        Apple 14                       Apple 14                       CORRECT ✓      
843        Apple 14                       Apple 14                       CORRECT ✓      
844        Apple 14                       Apple 14                       CORRECT ✓      
